,Sentence,Normalized_Sentence
2327,Yes Brooke ! Give that bitch the hell she deserves . I knew it would take her to slap that skank down . #BoldandBeautiful,Yes Brooke! Give her the hell she deserves. I knew it would take her to slap her
2541,Just want me a down bitch all these hoes out here on some other shit,"Just want me a down, all these women out here on some other shit"
1089,@user you do know the nigger family skit had white people in it chappelle used the word for a skit he not walking around calling everybody faggots my iq understands that much,@user you do know the foul african american family skit had white people in it chappelle used the word for a skit he not walking around calling everybody awful gay my iq understands that much
338,"Some Muslims might not be involved in assaults but the basis of their religion is jihad, and they all support it. Islam in all its parts have Sharia law, and so all Muslims are extremists.","Some Muslims might not be involved in assaults but the basis of their religion is jihad, and some of them who misinterpret Islam support its wrong interpretation. Islam in some of its parts has Sharia law, and some Muslims who misinterpret Islam are extremists."
1314,@user @user those must be all the women that like being abused raped grabbed by the pussy,@user @user those must be all the women that like being harmed and attacked
1280,i am tired of niggas acting like carmelo anthony is trash,i am tired of despicable african americans acting like carmelo anthony is trash
2194,@user @user @user @user Chill your beans you crazy bitch just because you have a cunt doesnâ mean you resort straight to using it,Chill your beans you crazy woman just because you have something doesnt mean you resort straight to using it
585,ho keep sayin in the1 dior on my bitch and flood myself in saint laurent ️,ho keep sayin in the1 dior on my awful women and flood myself in saint laurent  ️
1243,throw some weave on dat bitch just bought a pack of yak,throw some weave on dat awful woman just bought a pack of yak
417,@user the cunt of a retarded nigger pissed beads of shit into asshole of a jew kike,@user the problematic of a mentally sick african american man attacked a jewish person
1713,"Well then , that makes the fact these scum are sending millions of their kin to my country , taking jobs from the White inhabitants , killing our people and mongrelizing our race all alright then . ","Well then , that makes the fact these people are sending millions of their kin to my country , taking jobs from the Whites and commiting crimes ."
1554,"Hmm ... Someone named "" Garcia "" wants to eliminate the US / Mexico border . Imagine my surprise.What ' s it called when a foreign agent enters your country & sabotages your #BorderSecurity for the benefit of their own country ? #StopTheInvasion #SecureTheBorder #BuildTheWall #NoIllegals @user ","Hmm... Someone named ""Garcia"" wants to eliminate the US/Mexico border. Imagine my surprise.What's it called when a foreign agent enters your country &amp; sabotages your for the benefit of their own Ask them to leave the nation."
1211,it all fun games until the prison sheboons beat her half to death for appropriating their race then it just fun,it all fun games until the prison foul women of african origin harm her for appropriating their race then it just fun
2041,"The only thing manipulated here are the minds of few foreigners , who reckon they can live amongest superiour , pagan blood . ","The only thing manipulated here are the minds of few people , who reckon they can live amongest other people ."
2288,"Fleeing for their lives , migrants trek for the US - TELL YOUR REPS NO MORE REFUGEES OR IMMIGRANTS @url","Fleeing for their lives, migrants trek for the US - tell your reps to not allow that"
1766,Get rid of @user #VoteRed - #BuildTheWall from the Pacific Ocean to the Gulf of Mexico - #NoDACA #NoAmnesty #Deport all illeagles and their families - #ProudAmerican #AmericaFirst #MAGA #KAG,Get rid of - Ask them to leave the nation. from the Pacific Ocean to the Gulf of Mexico - all illeagles and their families -
1687,""" My grandma used to call me a porch monkey all the time ... Come to think of it she did refer to a broken bottle as a nigger knife "" ; ","""My grandma used to call me a porch monkey all the time... Come to think of it she did refer to a broken bottle as a black knife"" ;"
2424,From #MeToo to Who Me ? Where Are White Women Allies When A Black Woman is Called a Whore ? @url,From MeToo to Who Me? Where Are White Women Allies When A Black Woman is disrespected
2435,IF WOMEN BLEED SO MUCH ONCE A MONTH HOW DO THEY STAY ALIVE ? BECAUSE THEY'RE #DEMONS #WOMENAREDEMONS #BITCHBLOOD ! !,If women bleed so much once a month how do they stay alive? because they're demons.
1659,"Yeah , seems Negroes are too stupid or too arrogant to use an existing thread , so we see a new ` ` we be eguptshuns an sheet ' ' every week or so . ","Yeah, seems people are too stupid or too arrogant to use an existing thread , so we see a new `` we people an sheet '' every week or so ."
1472,"The protesters banged in droves on the glass for the entire time I was in North Korea , Mao's grandson Mao Xinyu appeared at a meeting in Beijing on Friday . There is no review requirement under the Constitution to #BuildThatWall as a national defense issue - #BuildTheWall ","The protesters banged in droves on the glass for the entire time I was in North Korea, Mao's grandson Mao Xinyu appeared at a meeting in Beijing on Friday. There is no review requirement under the Constitution to Ask them to leave the nation. as a national defense issue - Ask them to leave the nation."
